routeID,operator
682,Go North East
683,Go North East
683,Go North East
684,Go North East
684,Go North East
684,Go North East
684,Go North East
684,Go North East
686,Go North East
686,Go North East
687,Go North East
687,Go North East
687,Go North East
688,Go North East
688,Go North East
689,Go North East
689,Go North East
695,Go North East
69,Go North East
69,Go North East
69,Go North East
6,Go North East
6,Go North East
6,Go North East
700,Go North East
700,Go North East
700,Go North East
700N,Go North East
700N,Go North East
701,Go North East
701,Go North East
701,Go North East
701,Go North East
701,Go North East
702,Go North East
702,Go North East
703,Go North East
703,Go North East
703,Go North East
703,Go North East
703,Go North East
703,Go North East
74,Go North East
74,Go North East
787,Go North East
787,Go North East
787,Go North East
78,Go North East
78,Go North East
78,Go North East
78,Go North East
807,Go North East
808,Go North East
819,Go North East
81,Go North East
81,Go North East
81,Go North East
821,Go North East
824,Go North East
830,Go North East
832,Go North East
832,Go North East
833,Go North East
838,Go North East
838,Go North East
838,Go North East
840,Go North East
840,Go North East
841,Go North East
841,Go North East
841,Go North East
842,Go North East
843,Go North East
843,Go North East
844,Go North East
845,Go North East
846,Go North East
84,Go North East
84,Go North East
84,Go North East
850,Go North East
854,Go North East
856,Go North East
856,Go North East
859,Go North East
85A,Go North East
85A,Go North East
85A,Go North East
85,Go North East
85,Go North East
85,Go North East
861N,Go North East
861,Go North East
863,Go North East
863,Go North East
865,Go North East
866,Go North East
871,Go North East
873,Go North East
874,Go North East
874,Go North East
875,Go North East
876,Go North East
876N,Go North East
877,Go North East
878,Go North East
878,Go North East
878,Go North East
880,Go North East
880,Go North East
881,Go North East
882,Go North East
882,Go North East
884,Go North East
885,Go North East
886,Go North East
887,Go North East
888,Go North East
889,Go North East
891,Go North East
896,Go North East
898,Go North East
898,Go North East
898,Go North East
898,Go North East
899,Go North East
899,Go North East
899,Go North East
8A,Go North East
8A,Go North East
8A,Go North East
8,Go North East
8,Go North East
8,Go North East
8,Go North East
8,Go North East
91A,Go North East
91,Go North East
91,Go North East
935,Go North East
935,Go North East
937,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
93,Go North East
94,Go North East
94,Go North East
94,Go North East
94,Go North East
94,Go North East
94,Go North East
96,Go North East
96,Go North East
96,Go North East
99,Go North East
99,Go North East
99,Go North East
9,Go North East
9,Go North East
9,Go North East
9,Go North East
9,Go North East
AD12,Go North East
AD12,Go North East
AD12,Go North East
N21,Go North East
N21,Go North East
N21,Go North East
Q3X,Go North East
Q3,Go North East
Q3,Go North East
Q3,Go North East
R2,Go North East
R2,Go North East
SB10,Go North East
SB10,Go North East
SB1,Go North East
SB2,Go North East
SB3,Go North East
SB4,Go North East
SB5,Go North East
SB6,Go North East
SB7,Go North East
SB8,Go North East
SB9,Go North East
SB9,Go North East
V1,Go North East
V1,Go North East
V1,Go North East
V2,Go North East
V2,Go North East
V5,Go North East
V5,Go North East
V5,Go North East
X10,Go North East
X10,Go North East
X10,Go North East
X15,Go North East
X15,Go North East
X15,Go North East
X15,Go North East
X1A,Go North East
X1,Go North East
X1,Go North East
X1,Go North East
X1,Go North East
X20,Go North East
X20,Go North East
X21,Go North East
X21,Go North East
X21,Go North East
X21,Go North East
X21,Go North East
X21,Go North East
X21,Go North East
X30,Go North East
X30,Go North East
X30,Go North East
X31,Go North East
X31,Go North East
X32,Go North East
X32,Go North East
X39,Go North East
X45,Go North East
X45,Go North East
X45,Go North East
X50,Go North East
X50,Go North East
X50,Go North East
X58,Go North East
X58,Go North East
X58,Go North East
X5,Go North East
X5,Go North East
X62,Go North East
X62,Go North East
X66,Go North East
X66,Go North East
X66,Go North East
X66,Go North East
X6,Go North East
X6,Go North East
X6,Go North East
X6,Go North East
X70,Go North East
X70,Go North East
X71A,Go North East
X71A,Go North East
X71,Go North East
X71,Go North East
X72,Go North East
X72,Go North East
X72,Go North East
X73,Go North East
X73,Go North East
X85,Go North East
LS1,Stagecoach
LS2,Stagecoach
LS3,Stagecoach
RP1,Stagecoach
UTCA,Stagecoach
UTCC,Stagecoach
UTCC,Stagecoach
UTCG,Stagecoach
UTCG,Stagecoach
X1,Stagecoach
X1,Stagecoach
X20,Stagecoach
X20,Stagecoach
X24,Stagecoach
X24,Stagecoach
X24,Stagecoach
X34,Stagecoach
X40,Stagecoach
X47,Stagecoach
X63,Stagecoach
X78,Stagecoach
X82,Stagecoach
X86,Stagecoach
X86,Stagecoach
X87,Stagecoach
